item,price_naira,unit,market,date_recorded
Rice (local),61000,50kg bag,Mile 12,2026-04-09
Tomato,60000,Big basket,Mile 12,2026-04-09
Beans (brown),950,1kg,General,2026-04-09
Onion,450,1kg,General,2026-04-09
Garri (white),800,1kg,Mushin,2026-04-09
Imported Rice,85000,50kg bag,Mile 12,2026-04-13
White Maize,1200,1 Paint (Mudu),Oyingbo,2026-04-13
New Yam,4500,1 Tuber,Mile 12,2026-04-13
Sweet Potato,15000,1 Basket,Mushin,2026-04-13
Beef (with bone),4500,1kg,General,2026-04-13
Eggs,5500,1 Crate,General,2026-04-13
Fresh Pepper (Atarodo),5000,1kg,Mile 12,2026-04-13
Palm Oil,1200,1 Bottle (75cl),Mushin,2026-04-13
Vegetable Oil,1500,1 Bottle (75cl),Oyingbo,2026-04-13
